,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011
,ID,"C4F60","C4F60","C4F60","C5410","C5410","C5410","C5BD0","C5BD0","C5BD0","C8880","C8880","C8880","C8C10","C8C10","C8C10","C53A0","C53A0","C53A0","C8C20","C8C20","C8C20","C8C30","C8C30","C8C30","C8C40","C8C40","C8C40","C8C50","C8C50","C8C50","C8C60","C8C60","C8C60","C8C70","C8C70","C8C70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,0.191000,-3640.281738,201.134735,2684.978271,1732.796387,167.221634,265.488739,1103.211792,60.627670,1283.090576,1902.639282,-454.592834,110.314072,-5666.573242,3675.953857,-3700.345947,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-3640.263916,201.123596,2684.989502,,,,1103.188477,60.609936,1283.137573,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208000,-3640.260986,201.139389,2685.060303,,,,1103.207886,60.625038,1283.129395,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216000,-3640.270264,201.193512,2685.052490,,,,1103.238281,60.656158,1283.124512,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-3640.236084,201.071320,2684.975342,1732.789062,167.224533,265.483124,1103.174683,60.610413,1283.132080,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233000,-3640.263428,201.060501,2685.012451,,,,1103.184448,60.602745,1283.130859,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241000,-3640.284668,201.131409,2685.066650,1732.775269,167.235611,265.498993,1103.220947,60.635876,1283.121460,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-3640.258789,201.129608,2685.031250,,,,1103.197632,60.631516,1283.169556,1902.660767,-454.643433,110.311806,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258000,-3640.275879,201.112335,2685.025635,1733.368408,166.589478,265.449768,1103.213013,60.615147,1283.128296,,,,-5666.535156,3675.915527,-3700.327881,,,,,,,,,,,,,,,,,,,,,
32,0.266000,-3640.244629,201.127411,2684.993164,1733.383789,167.460129,265.987244,1103.188599,60.614250,1283.145020,,,,-5666.540527,3675.924805,-3700.319336,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-3640.275146,201.104340,2685.080811,,,,1103.170654,60.588600,1283.126831,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283000,-3640.291992,201.110794,2685.048096,,,,1103.177368,60.610226,1283.141479,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291000,-3640.295898,201.111359,2685.032227,,,,1103.226685,60.652367,1283.139771,,,,-5666.568359,3675.930176,-3700.323486,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-3640.291016,201.169724,2685.047119,,,,1103.211914,60.657860,1283.118408,1902.661133,-454.599640,110.321045,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308000,-3640.253662,201.113022,2685.057129,,,,1103.226929,60.621124,1283.121094,,,,-5666.521973,3675.910889,-3700.312500,,,,,,,,,,,,,,,,,,,,,
38,0.316000,-3640.277344,201.061981,2685.013184,,,,1103.185425,60.611481,1283.132324,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-3640.251709,201.020950,2685.033691,1732.789673,167.236206,265.496552,1103.161133,60.578583,1283.151245,,,,-5666.588379,3675.944824,-3700.338623,,,,,,,,,,,,,,,,,,,,,
40,0.333000,-3640.261475,201.135956,2685.047852,,,,1103.175537,60.640842,1283.127563,,,,-5666.562988,3675.915527,-3700.328857,,,,,,,,,,,,,,,,,,,,,
41,0.341000,-3640.276611,201.207672,2685.052246,1733.348022,166.634003,265.461761,1103.234497,60.704632,1283.104736,,,,-5666.550293,3675.919434,-3700.322754,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-3640.243408,201.061005,2684.998535,,,,1103.184570,60.630081,1283.124390,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358000,-3640.258545,201.009216,2684.994873,,,,1103.241821,60.623676,1283.073730,,,,-5666.603027,3675.935791,-3700.331543,,,,,,,,,,,,,,,,,,,,,
44,0.366000,-3640.300293,201.145386,2685.063232,1732.805908,167.228012,265.476593,1103.231567,60.680988,1283.091797,,,,-5666.561035,3675.911865,-3700.324219,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-3640.298584,201.253052,2685.077393,,,,1103.220703,60.662628,1283.151978,,,,-5666.561035,3675.921387,-3700.319824,,,,,,,,,,,,,,,,,,,,,
46,0.383000,-3640.237061,201.115265,2685.052734,,,,1103.187500,60.690781,1283.096191,,,,-5666.632324,3675.984375,-3700.352783,,,,,,,,,,,,,,,,,,,,,
47,0.391000,-3640.220459,200.986359,2685.006348,1732.812744,167.242508,265.482758,1103.167236,60.603779,1283.090454,,,,-5666.602539,3675.941650,-3700.328369,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-3640.231445,201.035446,2685.021729,,,,1103.192993,60.596703,1283.122070,,,,-5666.592773,3675.938965,-3700.336670,,,,,,,,,,,,,,,,,,,,,
49,0.408000,-3640.279541,201.250122,2685.044922,,,,1103.168945,60.667084,1283.142578,1902.690186,-454.625854,110.318039,-5666.573242,3675.930420,-3700.335693,,,,,,,,,,,,,,,,,,,,,
50,0.416000,-3640.295898,201.280899,2685.060059,,,,1103.208008,60.680439,1283.154663,1902.687622,-454.672302,110.311623,-5666.586914,3675.936279,-3700.331787,,,,,,,,,,,,,,,,,,,,,
51,0.425000,-3640.250732,201.100464,2685.022461,,,,1103.208984,60.620308,1283.111938,,,,-5666.595215,3675.935791,-3700.322998,,,,,,,,,,,,,,,,,,,,,
52,0.433000,-3640.260254,201.014236,2684.980469,,,,1103.174927,60.620651,1283.106445,,,,-5666.611328,3675.948486,-3700.334717,,,,,,,,,,,,,,,,,,,,,
53,0.441000,-3640.303467,201.184647,2685.029053,1732.814453,167.206940,265.491547,1103.205566,60.629658,1283.124268,,,,-5666.568359,3675.923340,-3700.314453,-5715.518066,3665.459473,-3627.250732,,,,,,,,,,,,,,,,,,
54,0.450000,-3640.329102,201.290787,2685.089355,,,,1103.230713,60.673595,1283.147583,,,,-5666.587402,3675.941895,-3700.325684,,,,,,,,,,,,,,,,,,,,,
55,0.458000,-3640.289795,201.158310,2685.028076,,,,1103.244629,60.678974,1283.099487,1902.656128,-454.643829,110.305740,-5666.575195,3675.913574,-3700.322998,,,,,,,,,,,,,,,,,,,,,
56,0.466000,-3640.270508,200.992737,2684.990723,,,,1103.224609,60.626114,1283.082886,,,,-5666.605957,3675.934814,-3700.336182,,,,,,,,,,,,,,,,,,,,,
57,0.475000,-3640.252686,201.089737,2684.971436,1732.791504,167.230698,265.485138,1103.180664,60.593605,1283.116821,,,,-5666.570312,3675.908936,-3700.323486,,,,,,,,,,,,,,,,,,,,,
58,0.483000,-3640.284180,201.217102,2685.036621,,,,1103.238403,60.691910,1283.127441,,,,-5666.615723,3675.950195,-3700.341064,,,,,,,,,,,,,,,,,,,,,
59,0.491000,-3640.319336,201.247482,2685.027100,,,,1103.221924,60.688988,1283.122803,,,,-5666.636230,3675.957764,-3700.341064,,,,,,,,,,,,,,,,,,,,,
60,0.500000,-3640.271240,201.013092,2684.973633,1732.803589,167.259079,265.477264,1103.189819,60.635685,1283.093750,,,,-5666.601562,3675.916260,-3700.331787,,,,,,,,,,,,,,,,,,,,,
61,0.508000,-3640.229736,201.015656,2685.012939,1732.794312,167.242584,265.507874,1103.228516,60.632824,1283.061401,,,,-5666.601562,3675.933838,-3700.330078,-5715.541016,3665.474365,-3627.259033,,,,,,,,,,,,,,,,,,
62,0.516000,-3640.237549,201.201660,2685.050049,,,,1103.236938,60.716274,1283.105469,,,,-5666.614746,3675.934570,-3700.342529,,,,,,,,,,,,,,,,,,,,,
63,0.525000,-3640.318604,201.261765,2685.061768,,,,1103.212402,60.702087,1283.129883,,,,-5666.602539,3675.899414,-3700.343262,,,,,,,,,,,,,,,,,,,,,
64,0.533000,-3640.245361,201.057129,2685.010010,1732.781982,167.247086,265.452545,1103.280029,60.682632,1283.058960,,,,-5666.624512,3675.936035,-3700.337402,,,,,,,,,,,,,,,,,,,,,
65,0.541000,-3640.213623,201.032043,2684.980225,1732.767090,167.243210,265.483215,1103.172119,60.606804,1283.095825,,,,-5666.629395,3675.947510,-3700.329590,,,,,,,,,,,,,,,,,,,,,
66,0.550000,-3640.271729,201.172058,2685.087402,,,,1103.190186,60.662865,1283.157227,,,,-5666.634766,3675.936279,-3700.348877,,,,,,,,,,,,,,,,,,,,,
67,0.558000,-3640.288818,201.206207,2685.066650,1732.791016,167.248535,265.492035,1103.212646,60.722488,1283.101440,1902.655762,-454.664459,110.331688,-5666.639648,3675.929688,-3700.345947,-5715.554199,3665.480225,-3627.276855,,,,,,,,,,,,,,,,,,
68,0.566000,-3640.253174,201.073563,2685.027832,1732.780151,167.219986,265.474304,1103.197632,60.661366,1283.130127,,,,-5666.637207,3675.936279,-3700.348145,,,,,,,,,,,,,,,,,,,,,
69,0.575000,-3640.221680,201.022324,2685.024658,,,,1103.184570,60.645821,1283.102905,,,,-5666.661621,3675.962158,-3700.360352,,,,,,,,,,,,,,,,,,,,,
70,0.583000,-3640.245361,201.128571,2685.003906,,,,1103.212646,60.676262,1283.113892,,,,-5666.618164,3675.916992,-3700.335693,-5715.525879,3665.447021,-3627.258057,,,,,,,,,,,,,,,,,,
71,0.591000,-3640.273438,201.224045,2685.025635,1732.782959,167.227524,265.474854,1103.218994,60.701878,1283.086182,,,,-5666.639648,3675.929932,-3700.346436,,,,,,,,,,,,,,,,,,,,,
72,0.600000,-3640.254395,201.121872,2685.008301,1732.786377,167.236862,265.463898,1103.203247,60.663582,1283.105103,,,,-5666.646973,3675.943359,-3700.338379,,,,,,,,,,,,,,,,,,,,,
73,0.608000,-3640.271729,201.093353,2685.004395,,,,1103.248413,60.698826,1283.061157,,,,-5666.625488,3675.921631,-3700.344238,,,,,,,,,,,,,,,,,,,,,
74,0.616000,-3640.313232,201.167130,2685.052002,,,,1103.182373,60.663666,1283.092651,,,,-5666.681152,3675.973145,-3700.354492,,,,,,,,,,,,,,,,,,,,,
75,0.625000,-3640.302979,201.170151,2685.047607,1732.787231,167.191422,265.461090,1103.206177,60.656784,1283.104126,,,,,,,-5715.558105,3665.486816,-3627.268799,,,,,,,,,,,,,,,,,,
76,0.633000,-3640.266602,201.115845,2685.023193,1732.796387,167.194901,265.467682,1103.190918,60.660904,1283.097290,1902.679321,-454.649811,110.291512,-5666.641113,3675.933350,-3700.349609,,,,,,,,,,,,,,,,,,,,,
77,0.641000,-3640.300293,201.192825,2685.008301,,,,1103.184814,60.692776,1283.114990,1902.674683,-454.605804,110.295692,,,,,,,,,,,,,,,,,,,,,,,,
78,0.650000,-3640.278076,201.176102,2685.058105,,,,1103.225220,60.670494,1283.127075,,,,-5666.642090,3675.929688,-3700.341064,,,,,,,,,,,,,,,,,,,,,
79,0.658000,-3640.239746,201.107956,2685.038818,1732.788696,167.214401,265.466431,1103.197144,60.647720,1283.121826,,,,-5666.639160,3675.928711,-3700.346436,,,,,,,,,,,,,,,,,,,,,
80,0.666000,-3640.236816,201.086533,2685.021729,,,,1103.206787,60.671776,1283.110596,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.675000,-3640.276855,201.164780,2685.020020,,,,1103.207031,60.687065,1283.117310,1902.660278,-454.645142,110.294907,-5666.632324,3675.928955,-3700.352783,,,,,,,,,,,,,,,,,,,,,
82,0.683000,-3640.276367,201.239685,2685.093262,1732.799683,167.195435,265.475342,1103.208618,60.703312,1283.123657,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.691000,-3640.281982,201.158203,2685.056641,,,,1103.222900,60.670765,1283.086670,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.700000,-3640.254395,201.090515,2684.989502,,,,1103.226196,60.646057,1283.063232,,,,-5666.625488,3675.920898,-3700.341553,,,,,,,,,,,,,,,,,,,,,
85,0.708000,-3640.270020,201.093887,2685.010010,,,,1103.169800,60.617676,1283.077148,,,,-5666.614258,3675.914062,-3700.337891,,,,,,,,,,,,,,,,,,,,,
86,0.716000,-3640.290527,201.239609,2685.090088,1732.795288,167.267303,265.457794,1103.218872,60.682846,1283.091919,1902.662476,-454.645142,110.300575,-5666.610840,3675.918457,-3700.339844,,,,,,,,,,,,,,,,,,,,,
87,0.725000,-3640.298584,201.202148,2685.056641,1732.819946,167.284790,265.442017,1103.177612,60.639500,1283.137085,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.733000,-3640.324707,201.129364,2685.027588,1732.805420,167.200653,265.465210,1103.189453,60.639957,1283.090210,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.741000,-3640.275635,201.094635,2685.003662,,,,1103.182129,60.611683,1283.092407,,,,-5666.619141,3675.927246,-3700.348633,,,,,,,,,,,,,,,,,,,,,
90,0.750000,-3640.300049,201.154053,2685.063232,1732.786011,167.236954,265.473450,1103.213867,60.664295,1283.106323,,,,-5666.636230,3675.946533,-3700.347900,,,,,,,,,,,,,,,,,,,,,
91,0.758000,-3640.309814,201.255096,2685.047852,,,,1103.168213,60.684895,1283.132202,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.766000,-3640.348145,201.187592,2685.056641,,,,1103.203003,60.685318,1283.090210,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.775000,-3640.268311,201.092422,2684.993896,,,,1103.188599,60.639381,1283.081909,1902.666992,-454.630951,110.290260,,,,,,,,,,,,,,,,,,,,,,,,
94,0.783000,-3640.302734,201.182251,2685.052002,1732.779541,167.216095,265.432434,1103.185059,60.640068,1283.100708,,,,-5666.661133,3675.969727,-3700.363525,,,,,,,,,,,,,,,,,,,,,
95,0.791000,-3640.353516,201.226639,2685.046387,,,,1103.206665,60.693619,1283.088623,1902.672485,-454.601715,110.288994,,,,,,,,,,,,,,,,,,,,,,,,
96,0.800000,-3640.289307,201.157745,2685.045654,,,,1103.248413,60.692429,1283.089722,1902.687500,-454.586945,110.315262,,,,,,,,,,,,,,,,,,,,,,,,
97,0.808000,-3640.288574,201.138519,2685.038574,,,,1103.186890,60.600876,1283.107056,,,,-5666.624023,3675.932861,-3700.352539,,,,,,,,,,,,,,,,,,,,,
98,0.816000,-3640.297852,201.167068,2685.024902,1732.812988,167.221115,265.465546,1103.200928,60.644005,1283.131104,,,,,,,,,,,,,,,,,,,,,,,,,,,
