Format Version,1.23,Take Name,Take 2022-05-02 03.27.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-02 03.27.19.810 PM,Capture Start Frame,231020,Total Frames in Take,1505,Total Exported Frames,1505,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Atlas:Marker1,Atlas:Marker1,Atlas:Marker1,Atlas:Marker2,Atlas:Marker2,Atlas:Marker2,Atlas:Marker3,Atlas:Marker3,Atlas:Marker3,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007
,ID,"C66A0","C66A0","C66A0","C6D90","C6D90","C6D90","C6DB0","C6DB0","C6DB0","C5E80","C5E80","C5E80","C7620","C7620","C7620","C7630","C7630","C7630","C7640","C7640","C7640"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183000,-7469.495117,2354.709473,-2168.089844,-7359.066895,2352.087402,-2061.532715,-7378.674316,2348.607178,-2189.046875,-3639.452393,199.152145,2679.320801,,,,,,,,,
23,0.191000,-7466.827637,2353.423828,-2168.715088,-7357.197754,2352.154785,-2060.897461,-7376.786133,2348.602295,-2188.446533,-3639.492676,199.195511,2679.336670,,,,,,,,,
24,0.200000,-7464.153320,2352.424561,-2167.663574,-7355.088867,2352.167725,-2060.124023,-7374.702148,2348.679443,-2187.751221,-3639.483887,199.257019,2679.303711,,,,,,,,,
25,0.208000,-7462.215820,2352.461182,-2167.075928,-7353.251953,2352.196777,-2059.470215,-7372.844727,2348.697998,-2187.105713,-3639.472656,199.206024,2679.321533,,,,,,,,,
26,0.216000,-7460.472168,2352.480469,-2166.442383,-7351.391113,2352.257324,-2058.865723,-7370.880859,2348.689697,-2186.385498,-3639.493896,199.201385,2679.295898,,,,,,,,,
27,0.225000,-7459.426758,2353.916260,-2166.631592,-7349.498047,2352.475586,-2058.386475,-7368.889648,2348.766602,-2185.768066,-3639.494141,199.237167,2679.313965,,,,,,,,,
28,0.233000,-7456.691406,2352.821289,-2165.368164,-7347.649414,2352.546387,-2057.739990,-7367.091309,2348.791992,-2185.160400,-3639.452393,199.246140,2679.314941,,,,,,,,,
29,0.241000,-7454.692871,2352.473633,-2164.545410,-7345.757324,2352.473633,-2056.949463,-7365.259766,2348.851074,-2184.567383,-3639.492676,199.177444,2679.331055,,,,,,,,,
30,0.250000,-7452.865723,2352.909180,-2163.968994,-7343.721680,2352.520752,-2056.197754,-7363.120117,2348.788086,-2183.719727,-3639.483887,199.112061,2679.279785,,,,,,,,,
31,0.258000,-7452.081543,2354.363037,-2164.392090,-7341.878906,2352.571777,-2055.544189,-7361.368652,2348.898438,-2183.145020,-3639.478271,199.188599,2679.343506,,,,,,,,,
32,0.266000,-7449.533203,2353.212646,-2163.098877,-7340.138672,2352.617188,-2054.957520,-7359.585938,2348.907715,-2182.608154,-3639.493408,199.294739,2679.345459,,,,,,,,,
33,0.275000,-7447.071289,2352.443604,-2161.874756,-7338.172852,2352.646240,-2054.274658,-7357.627441,2348.977539,-2181.898438,-3639.507080,199.169281,2679.311523,,,,,,,,,
34,0.283000,-7445.291504,2352.593994,-2161.398682,-7336.456055,2352.754150,-2053.732178,-7355.825195,2349.014160,-2181.301758,-3639.438965,199.087799,2679.270996,,,,,,,,,
35,0.291000,-7443.406250,2352.284424,-2160.634766,-7334.644531,2352.784912,-2053.030518,-7354.113770,2349.132080,-2180.787354,-3639.459229,199.185852,2679.322754,,,,,,,,,
36,0.300000,-7441.955566,2352.977783,-2160.381348,-7332.647949,2352.781006,-2052.288574,-7352.055664,2349.012451,-2179.951660,-3639.469727,199.261429,2679.314209,,,,,,,,,
37,0.308000,-7439.890137,2352.677246,-2159.614014,-7331.100098,2352.982910,-2051.893066,-7350.317871,2349.088379,-2179.425293,-3639.436279,199.155457,2679.318604,,,,,,,,,
