Format Version,1.23,Take Name,Take 2022-05-04 11.31.14 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-04 11.31.14.559 AM,Capture Start Frame,222574,Total Frames in Take,6573,Total Exported Frames,6573,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker4,SensorHead:Marker4,SensorHead:Marker4,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021
,ID,"9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","2948CDDB6ACBC311EC","2948CDDB6ACBC311EC","2948CDDB6ACBC311EC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,0.200000,1858.608398,987.058777,-730.258850,1857.553589,983.460449,-814.537170,1795.828857,978.875122,-840.152039,1747.928589,981.709778,-725.442688,,,
25,0.208000,1858.614868,987.058228,-730.257996,1857.561157,983.460815,-814.549683,1795.840210,978.877319,-840.132690,1747.922607,981.710815,-725.447876,,,
26,0.216000,1858.614624,987.067688,-730.248901,1857.568481,983.446716,-814.529846,1795.838257,978.873291,-840.159912,1747.927368,981.695801,-725.407532,,,
27,0.225000,1858.613525,987.043823,-730.235718,1857.576660,983.440430,-814.521790,1795.831177,978.875305,-840.173035,1747.937622,981.711853,-725.459167,,,
28,0.233000,1858.618774,987.032715,-730.226868,1857.574829,983.442810,-814.550842,1795.835449,978.824341,-840.109070,1747.942627,981.681030,-725.442749,,,
29,0.241000,1858.602539,987.021667,-730.223267,1857.571411,983.426636,-814.566040,1795.835449,978.834900,-840.167053,1747.947754,981.685120,-725.470886,,,
30,0.250000,1858.614624,987.004395,-730.226929,1857.568359,983.414185,-814.578003,1795.829712,978.820374,-840.147705,1747.932373,981.677734,-725.444824,,,
31,0.258000,1858.609131,987.002075,-730.222168,1857.569946,983.417297,-814.594604,1795.823975,978.823975,-840.184143,1747.941284,981.663330,-725.478210,,,
32,0.266000,1858.612793,987.004028,-730.223694,1857.571899,983.402466,-814.541992,1795.816772,978.809937,-840.148682,1747.927979,981.678040,-725.473267,,,
33,0.275000,1858.608398,987.011719,-730.226624,1857.575073,983.417175,-814.575928,1795.836304,978.836548,-840.218994,1747.937622,981.674316,-725.441650,,,
34,0.283000,1858.607910,987.013123,-730.215637,1857.574707,983.434326,-814.577148,1795.829346,978.853760,-840.170532,1747.920166,981.706482,-725.461609,,,
35,0.291000,1858.608032,987.027283,-730.208557,1857.574829,983.436340,-814.567932,1795.828125,978.829651,-840.161011,1747.936768,981.705383,-725.441467,,,
36,0.300000,1858.624268,987.031921,-730.210388,1857.571289,983.452759,-814.560242,1795.822144,978.853455,-840.171692,1747.937744,981.686096,-725.438599,,,
37,0.308000,1858.627686,987.042603,-730.207458,1857.572998,983.446838,-814.540161,1795.825684,978.855591,-840.151733,1747.941895,981.703247,-725.381042,,,
