Format Version,1.23,Take Name,Take 2022-04-30 06.22.42 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.22.42.472 PM,Capture Start Frame,579695,Total Frames in Take,8474,Total Exported Frames,8474,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker4,SensorHead:Marker4,SensorHead:Marker4,Unlabeled 1179,Unlabeled 1179,Unlabeled 1179,Unlabeled 1180,Unlabeled 1180,Unlabeled 1180
,ID,"6E8AF301C8DC11ECB1695D6E8D90CCB9","6E8AF301C8DC11ECB1695D6E8D90CCB9","6E8AF301C8DC11ECB1695D6E8D90CCB9","6E8AF300C8DC11ECB1695D6E8D90CCB9","6E8AF300C8DC11ECB1695D6E8D90CCB9","6E8AF300C8DC11ECB1695D6E8D90CCB9","6E8AF2FFC8DC11ECB1695D6E8D90CCB9","6E8AF2FFC8DC11ECB1695D6E8D90CCB9","6E8AF2FFC8DC11ECB1695D6E8D90CCB9","6E8AF2FEC8DC11ECB1695D6E8D90CCB9","6E8AF2FEC8DC11ECB1695D6E8D90CCB9","6E8AF2FEC8DC11ECB1695D6E8D90CCB9","25B2D9A781AC8D111EC","25B2D9A781AC8D111EC","25B2D9A781AC8D111EC","2512D9A781AC8D111EC","2512D9A781AC8D111EC","2512D9A781AC8D111EC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175000,-1265.438843,1012.121582,697.933533,-1225.379639,1006.741028,770.536194,-1157.222046,1002.528198,766.580200,-1169.366943,1006.188660,642.815063,,,,,,
22,0.183000,-1265.434326,1012.117004,697.944824,-1225.374146,1006.727905,770.540039,-1157.215088,1002.536194,766.593506,-1169.347534,1006.176086,642.857361,,,,,,
23,0.191000,-1265.425293,1012.124634,697.941284,-1225.368286,1006.739136,770.550842,-1157.229614,1002.549744,766.598938,-1169.372070,1006.177917,642.824585,,,,,,
24,0.200000,-1265.427612,1012.129517,697.944275,-1225.380127,1006.744873,770.541626,-1157.224976,1002.539856,766.595337,-1169.366333,1006.196716,642.835571,,,,,,
25,0.208000,-1265.434570,1012.125488,697.931458,-1225.402466,1006.746643,770.519409,-1157.221558,1002.554871,766.597168,-1169.360229,1006.193298,642.839661,,,,,,
26,0.216000,-1265.428589,1012.132874,697.921814,-1225.404907,1006.749146,770.521851,-1157.219971,1002.578735,766.594666,-1169.388062,1006.202942,642.809265,,,,,,
27,0.225000,-1265.438232,1012.137268,697.928650,-1225.405396,1006.776917,770.520081,-1157.226807,1002.594238,766.580505,-1169.373047,1006.208557,642.814941,,,,,,
28,0.233000,-1265.429565,1012.148621,697.930664,-1225.419922,1006.766907,770.521057,-1157.229980,1002.593384,766.591980,-1169.379517,1006.208069,642.816467,,,,,,
29,0.241000,-1265.438965,1012.146240,697.912292,-1225.422974,1006.779541,770.515442,-1157.235352,1002.593628,766.573120,-1169.388550,1006.214966,642.825928,,,,,,
30,0.250000,-1265.428101,1012.161255,697.932556,-1225.413208,1006.750244,770.515015,-1157.219604,1002.582764,766.605103,-1169.390747,1006.205322,642.824768,,,,,,
31,0.258000,-1265.439941,1012.121704,697.924561,-1225.413574,1006.758118,770.515076,-1157.219727,1002.568848,766.579712,-1169.370117,1006.208923,642.822510,,,,,,
32,0.266000,-1265.430298,1012.113342,697.929443,-1225.393799,1006.750610,770.530518,-1157.229614,1002.550720,766.587708,-1169.386719,1006.200073,642.822327,,,,,,
33,0.275000,-1265.425293,1012.113098,697.936462,-1225.381958,1006.747864,770.547546,-1157.211426,1002.527222,766.586670,-1169.367920,1006.181946,642.810669,,,,,,
34,0.283000,-1265.428955,1012.114990,697.946716,-1225.382324,1006.733276,770.549622,-1157.217773,1002.528564,766.592651,-1169.352905,1006.183167,642.835266,,,,,,
35,0.291000,-1265.429932,1012.114624,697.944641,-1225.385010,1006.725525,770.545593,-1157.214233,1002.544189,766.602661,-1169.357300,1006.180054,642.840088,,,,,,
36,0.300000,-1265.409912,1012.140747,697.942810,-1225.379761,1006.744507,770.545898,-1157.211426,1002.546936,766.591675,-1169.354614,1006.198059,642.832214,,,,,,
37,0.308000,-1265.425537,1012.125244,697.935852,-1225.389038,1006.761047,770.532288,-1157.220215,1002.558228,766.577393,-1169.375366,1006.201416,642.829224,,,,,,
38,0.316000,-1265.432617,1012.122620,697.932495,-1225.416504,1006.761047,770.526001,-1157.207642,1002.574341,766.584778,-1169.368408,1006.203430,642.815735,,,,,,
39,0.325000,-1265.439331,1012.137634,697.919495,-1225.405151,1006.786255,770.522034,-1157.228516,1002.589966,766.581238,-1169.368164,1006.226196,642.805298,,,,,,
40,0.333000,-1265.446777,1012.123230,697.904419,-1225.416260,1006.780151,770.516052,-1157.224487,1002.588379,766.581909,-1169.371338,1006.208923,642.826050,,,,,,
41,0.341000,-1265.432739,1012.130249,697.914856,-1225.417236,1006.781006,770.514038,-1157.220825,1002.578247,766.572937,-1169.375122,1006.212463,642.833130,,,,,,
42,0.350000,-1265.416504,1012.154236,697.939636,-1225.409058,1006.760010,770.526062,-1157.224854,1002.584839,766.589417,-1169.376343,1006.199951,642.809998,,,,,,
43,0.358000,-1265.434814,1012.136841,697.939331,-1225.401978,1006.762268,770.515625,-1157.236450,1002.569458,766.576355,-1169.369141,1006.196960,642.829773,,,,,,
44,0.366000,-1265.426392,1012.140259,697.924561,-1225.401367,1006.737122,770.527710,-1157.214478,1002.547485,766.600647,-1169.370483,1006.194336,642.826233,,,,,,
