Format Version,1.23,Take Name,Take 2022-04-30 06.18.20 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.18.21.094 PM,Capture Start Frame,548330,Total Frames in Take,6289,Total Exported Frames,6289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-948.652344,1011.143433,1122.209839,-900.468689,1006.385559,1191.509888,-834.495728,1001.416687,1180.102661,-858.216858,1005.620728,1058.594116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058000,-948.625183,1011.171814,1122.220825,-900.474915,1006.386902,1191.509033,-834.507141,1001.414429,1180.099609,-858.208923,1005.624756,1058.603271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066000,-948.623291,1011.169556,1122.225342,-900.475769,1006.367554,1191.501343,-834.515930,1001.415039,1180.108521,-858.220154,1005.612732,1058.592285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-948.604919,1011.180054,1122.237915,-900.469177,1006.395447,1191.508301,-834.523621,1001.419678,1180.104492,-858.207092,1005.618225,1058.603882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083000,-948.625671,1011.171814,1122.217163,-900.465759,1006.396057,1191.506836,-834.514648,1001.440735,1180.093506,-858.212036,1005.635742,1058.587036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091000,-948.639282,1011.172058,1122.196899,-900.463196,1006.442810,1191.510986,-834.510498,1001.456360,1180.090820,-858.222107,1005.634644,1058.589600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-948.638367,1011.190552,1122.197510,-900.489868,1006.406921,1191.497314,-834.524963,1001.469849,1180.082764,-858.232605,1005.646484,1058.586792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108000,-948.640137,1011.165161,1122.187500,-900.484558,1006.425354,1191.488770,-834.520203,1001.477112,1180.085083,-858.256836,1005.636230,1058.567017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116000,-948.661072,1011.163818,1122.191406,-900.502075,1006.424316,1191.477783,-834.528198,1001.467590,1180.075806,-858.246094,1005.643616,1058.576416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-948.648254,1011.160156,1122.187500,-900.488708,1006.434692,1191.487671,-834.520203,1001.458740,1180.089478,-858.252075,1005.630981,1058.568970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133000,-948.628906,1011.167175,1122.206543,-900.486572,1006.405823,1191.491333,-834.519348,1001.449341,1180.084961,-858.225037,1005.637024,1058.579102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141000,-948.642639,1011.161072,1122.204224,-900.457397,1006.387451,1191.498535,-834.507935,1001.434570,1180.098022,-858.227234,1005.629761,1058.581787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
