Format Version,1.23,Take Name,Planes_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-03 03.43.57.867 PM,Capture Start Frame,84322,Total Frames in Take,1243,Total Exported Frames,1243,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-4064.570068,2059.592773,-1901.186646,-4155.722656,2070.988525,-1909.818237,-4082.300781,2070.861328,-1773.600708,-4149.445312,2081.204102,-1784.705200,-4156.345703,1288.426392,-4265.247559,-3632.258057,21.707092,-3739.558594,-2928.465088,1236.840210,-3394.260498,-3476.395264,634.163696,393.137543,-3063.047119,1877.702515,593.814819,-2855.360840,638.150940,-848.782166,-2456.153809,1877.033203,-658.820984,-6638.434570,254.257111,35.766533,-5234.354492,1100.049316,-53.190102,-4302.133301,1102.058594,-106.198563,,,,,,,,,,-3639.797607,200.694443,2684.537842,-5698.547363,3665.632812,-3627.958252,1705.082886,380.867645,370.617218,,,,,,,,,,-3026.206787,13.631695,-2352.254883,-2910.352295,1845.101807,-2396.481934,-2579.379150,11.299631,-1229.973511,-2477.862793,1845.062744,-1275.960083
7,0.058000,-4064.721191,2059.528320,-1900.877930,-4155.717773,2070.984619,-1909.820923,-4082.300781,2070.863281,-1773.596924,-4149.449219,2081.188477,-1784.710938,-4156.337402,1288.467529,-4265.151855,-3632.265137,21.707607,-3739.541992,-2928.482666,1236.882324,-3394.210938,-3476.373291,634.175049,393.141907,-3063.031006,1877.723511,593.789612,-2855.354248,638.119385,-848.791748,-2456.686035,1878.256104,-659.684387,-6638.437988,254.293320,35.792549,-5234.350586,1100.084961,-53.182285,-4302.113770,1102.073730,-106.197708,,,,,,,,,,-3639.775635,200.591095,2684.489502,-5698.575195,3665.653320,-3627.973389,,,,,,,,,,,,,-3026.178955,13.617637,-2352.239990,-2910.357910,1845.085205,-2396.504883,-2579.371094,11.233030,-1229.931641,-2477.850342,1845.050293,-1275.961060
8,0.066000,-4064.736816,2059.520020,-1900.875854,-4155.716797,2070.960205,-1909.818604,-4082.306396,2070.851318,-1773.616089,-4149.449219,2081.150635,-1784.704834,,,,,,,,,,-3476.361328,634.140442,393.127350,-3063.023682,1877.684082,593.766724,-2855.359619,638.106140,-848.800293,-2456.339844,1877.882202,-659.466553,-6638.450684,254.286407,35.788208,-5234.350098,1100.054321,-53.210125,-4302.132324,1102.045044,-106.198685,-4156.312500,1288.502441,-4265.074219,-3632.247314,21.662291,-3739.588379,-2926.423584,1238.407227,-3389.960449,-3639.846191,200.702835,2684.530762,-5698.532227,3665.620361,-3627.952393,,,,,,,,,,,,,-3026.196777,13.648013,-2352.232910,-2910.344727,1845.065552,-2396.520996,-2579.386230,11.229972,-1229.967773,-2477.851807,1845.049438,-1275.971802
9,0.075000,-4064.733887,2059.528809,-1900.875000,-4155.736328,2070.990234,-1909.840454,-4082.319824,2070.852783,-1773.604492,-4149.447754,2081.166992,-1784.712158,-4156.346680,1288.402588,-4265.210938,-3632.237793,21.656263,-3739.608154,-2928.470215,1236.813599,-3394.298584,-3476.396973,634.157654,393.128387,-3062.614014,1876.696167,593.838074,-2855.378418,638.104126,-848.795898,-2456.321045,1877.885376,-659.383911,-6638.446289,254.270584,35.761276,-5234.353516,1100.032471,-53.210655,-4302.128906,1102.056885,-106.203018,,,,,,,,,,-3639.851562,200.885834,2684.603760,-5698.546387,3665.618408,-3627.956787,1705.103027,380.859589,370.618805,,,,,,,,,,-3026.196045,13.632097,-2352.276367,-2910.347412,1845.110840,-2396.536865,-2579.351807,11.241886,-1229.948853,-2477.854736,1845.061890,-1275.959473
10,0.083000,-4064.735840,2059.533447,-1900.870850,-4155.729004,2070.990234,-1909.838623,-4082.313477,2070.862305,-1773.590088,-4149.456055,2081.190430,-1784.696899,-4156.328613,1288.475708,-4265.152344,-3632.244873,21.745350,-3739.519287,-2928.477539,1236.794312,-3394.351807,-3476.402832,634.180725,393.145996,-3063.033691,1877.687378,593.797058,-2855.368652,638.140015,-848.772888,-2456.320557,1877.886475,-659.387146,-6638.445312,254.276596,35.760269,-5234.355469,1100.055908,-53.208992,-4302.131348,1102.074219,-106.207817,,,,,,,,,,-3639.813477,200.751144,2684.555176,-5698.556152,3665.630859,-3627.964844,,,,,,,,,,,,,-3026.177734,13.626015,-2352.257812,-2910.346436,1845.110596,-2396.529785,-2579.363525,11.270539,-1229.957642,-2477.863037,1845.073364,-1275.945068
11,0.091000,-4064.730713,2059.531738,-1900.871338,-4155.727539,2070.978271,-1909.826172,-4082.314453,2070.858398,-1773.591309,-4149.459961,2081.180664,-1784.694458,,,,,,,,,,-3476.390625,634.178528,393.133575,-3063.046387,1877.732910,593.783020,-2855.369385,638.135498,-848.791809,-2456.154053,1877.077271,-658.915222,-6638.435059,254.301788,35.753654,-5234.341309,1100.079102,-53.193371,-4302.131836,1102.065552,-106.203964,-4156.295898,1288.540771,-4265.044434,-3632.258545,21.740879,-3739.556641,-2926.405762,1238.430664,-3389.937256,-3639.736572,200.256332,2684.413818,,,,1705.100952,380.878174,370.639160,,,,,,,,,,-3026.175537,13.621580,-2352.275879,-2910.345947,1845.101562,-2396.532227,-2579.377197,11.262663,-1229.981934,-2477.855225,1845.046387,-1275.959961
12,0.100000,-4064.561768,2059.607666,-1901.178589,-4155.729004,2070.978271,-1909.835083,-4082.318359,2070.860840,-1773.598022,-4149.448242,2081.176270,-1784.705933,,,,,,,,,,-3476.386230,634.166199,393.115265,-3063.037109,1877.706909,593.782715,-2855.360596,638.141907,-848.791138,-2456.134033,1877.000122,-658.877014,-6638.434082,254.347061,35.753983,-5234.354492,1100.049438,-53.201515,-4302.124512,1102.058472,-106.193298,-4156.326172,1288.490234,-4265.107910,-3632.237305,21.741985,-3739.533203,-2926.377441,1238.493896,-3389.889648,-3639.786621,200.598831,2684.476562,,,,1705.106689,380.869141,370.611237,,,,,,,,,,-3026.183105,13.593544,-2352.294189,-2910.336670,1845.072632,-2396.539062,-2579.379395,11.251410,-1229.985107,-2477.858154,1845.035156,-1275.969727
13,0.108000,-4064.726807,2059.555176,-1900.870239,-4155.735840,2070.973145,-1909.826172,-4082.310303,2070.871582,-1773.600586,-4149.453613,2081.151367,-1784.686401,,,,,,,,,,-3476.383301,634.160828,393.126434,-3063.040283,1877.694580,593.783447,-2855.348877,638.114746,-848.782532,-2456.125000,1877.048584,-658.826050,-6638.434570,254.352219,35.768318,-5234.340332,1100.037231,-53.197781,-4302.134277,1102.060547,-106.210907,-4156.348145,1288.451904,-4265.122559,-3632.240234,21.701458,-3739.545898,-2926.373535,1238.503784,-3389.886230,-3639.804199,200.787827,2684.587402,-5698.552246,3665.628174,-3627.961182,,,,,,,,,,,,,-3026.191162,13.610355,-2352.267334,-2910.336670,1845.079346,-2396.539795,-2579.340332,11.237729,-1229.913696,-2477.856445,1845.056396,-1275.965088
14,0.116000,-4064.735840,2059.565430,-1900.856567,-4155.736328,2070.982178,-1909.835571,-4082.318359,2070.862549,-1773.602905,-4149.455566,2081.181152,-1784.692749,,,,,,,,,,-3476.387939,634.173645,393.119324,-3063.042236,1877.702148,593.787476,-2855.359863,638.130859,-848.777527,-2456.131592,1877.066772,-658.834717,-6638.438965,254.333527,35.730850,-5234.352539,1100.040283,-53.209274,-4302.147461,1102.050415,-106.200470,-4156.315430,1288.458984,-4265.108887,-3632.231934,21.689301,-3739.611084,-2926.319092,1238.530518,-3389.904053,-3639.849365,200.866730,2684.588379,-5698.555664,3665.632080,-3627.963135,,,,,,,,,,,,,-3026.180908,13.572424,-2352.281982,-2910.351318,1845.088867,-2396.527100,-2579.364014,11.227745,-1229.940552,-2477.861084,1845.046265,-1275.968872
15,0.125000,-4064.743408,2059.553223,-1900.868530,-4155.744629,2070.970947,-1909.831177,-4082.329346,2070.856201,-1773.602783,-4149.463379,2081.181885,-1784.684204,,,,,,,,,,-3476.388184,634.182190,393.126282,-3063.062744,1877.717163,593.788940,-2855.362549,638.134460,-848.788574,-2456.142090,1877.028687,-658.861450,-6638.425781,254.332870,35.729794,-5234.358887,1100.060425,-53.213669,-4302.147461,1102.056641,-106.196342,-4156.333496,1288.466431,-4265.130859,-3632.243896,21.666798,-3739.640869,-2926.338623,1238.535889,-3389.888672,-3639.817139,200.616302,2684.503174,,,,,,,,,,,,,,,,-3026.185303,13.582676,-2352.304199,-2910.352295,1845.076904,-2396.541504,-2579.351074,11.239958,-1229.978271,-2477.859131,1845.026489,-1275.970459
