Format Version,1.23,Take Name,Take 2022-04-30 06.08.04 PM,Take Notes,l515_ouster_mocap_1.bag
,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.08.05.035 PM,Capture Start Frame,474404,Total Frames in Take,6418,Total Exported Frames,6418,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-1843.610229,1017.106750,723.172546,-1799.003540,1010.971558,793.631897,-1732.092041,1006.208679,786.567627,-1748.293579,1010.658386,663.492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058000,-1843.602661,1017.103821,723.191956,-1798.977295,1010.946167,793.621826,-1732.103516,1006.190918,786.600647,-1748.249634,1010.670776,663.454651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066000,-1843.608398,1017.094238,723.189697,-1798.968750,1010.940552,793.640747,-1732.106323,1006.165161,786.601440,-1748.269043,1010.641113,663.496826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-1843.583984,1017.087219,723.183716,-1798.942139,1010.908142,793.634583,-1732.131104,1006.143921,786.634766,-1748.243408,1010.614990,663.491455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083000,-1843.579590,1017.073730,723.199463,-1798.961060,1010.922180,793.646118,-1732.112305,1006.127258,786.617065,-1748.271973,1010.633850,663.495422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091000,-1843.583618,1017.073853,723.196289,-1798.932129,1010.902405,793.631714,-1732.126221,1006.139526,786.630737,-1748.246216,1010.622009,663.518433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-1843.588501,1017.074463,723.215759,-1798.972778,1010.935303,793.643616,-1732.115967,1006.160828,786.607239,-1748.267822,1010.623840,663.512268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108000,-1843.579590,1017.086365,723.180542,-1798.944336,1010.927917,793.649719,-1732.095581,1006.165649,786.584961,-1748.259033,1010.625244,663.489380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116000,-1843.591797,1017.086487,723.174255,-1798.971191,1010.959412,793.633301,-1732.128174,1006.168457,786.618347,-1748.269165,1010.643982,663.489990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-1843.596436,1017.117859,723.161072,-1798.969604,1010.964966,793.648926,-1732.108521,1006.188721,786.571472,-1748.267334,1010.651611,663.480469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
